,Participant,Transcript,Predicted_Overall_Score,Predicted_Excitement_Score
2,p11,Interviewer: So  tell me about yourself. |Interviewee: Uhh  I’m a junior at MIT  uhh I’m double majoring in Management and Biology  er  I’m very interested in the world of finance  uh  business  consulting all of those sorts of things. Um  so I’ve tried to take on different leadership roles that would prepare me for uh  those sort of roles in the business world. Outside of school  I enjoy running  cross-country and track  I’m on the varsity team at MIT. And umm  I’m also very involved in Greek Life at MIT  so I’m on the Panhellenic Executive Board as Vice President of Programming  and also hold a leadership position in my sorority. |Interviewer: Great  okay. Can you tell me about a time you demonstrated leadership?|Interviewee: Umm  so I think this past year  my biggest priority has been my position as Vice President of Programming for Panhellenic and umm  just in that position  uhh  I hold a leadership role on the exec board. We have weekly meetings  I’m charge of putting together our programming calendar for our entire year. So I have interface with a lot of MIT faculty and bring together the exec board as a whole and the different sororities uhh  to meet and attend different events. And I think to put together all these events I’m working together with different people on campus I have to show leadership and show strong communication skills. |Interviewer: Great. So  tell me about a time you were working on a team  and faced a challenge. How did you guys overcome that?|Interviewee: Umm  so I guess this past semester actually  I’m associate advisor for umm  freshmen and I work with my freshmen advisor as well and another associate advisor  and er   the three of us were trying to come up with an event to host for the freshman and I think we all  er  were very uhh  set on our ideas. So having to full time communicate and work on an idea that could bring all our thoughts and goals together . Um  so we had to work together to formulate some sort of event that would satisfy each of our different goals and that was difficult at first  ‘cause we had just met each other and it was difficult to understand where the other people were coming from. But after that  and after communicating what our main goals for the event for would be  we eventually figured out what we wanted to do. |Interviewer: Can you be more specific about that  what you eventually figured out?|Interviewee: Uhh  yeah so  we had — we were trying to communicate via email at first  so I think that was  uhh inefficient  especially since we had only met in a group once before  umm so meeting in person and really  trying to outline not just like   what the event was going to be  what our purpose of the event was going to be  and what we trying to communicate with the freshmen. I think by boiling down to what our purpose was for the event  we were able to build it up from there. |Interviewer: Okay  so can tell me about some of your weakness? Do you have any idea? |Interviewee: Umm  so I think one of my weaknesses is public speaking  actually  and uhh  I think by taking a variety of classes  especially this one class that I’m in  that focuses on management and communication . I’ve been kind of thrown into positions where I have to give impromptu speeches  uhh  and debate my point in different arguments and I think that the practice is helping me a lot and it allows me to become more comfortable and more confident in what I’m saying  which I think helps me in the long run like public speaking in general. I think I’ve been able to build up my confidence and know like  how to structure my speeches and interviews and impromptus better. |Interviewer: Great. So why do you think we should hire you?|Interviewee: Uhh  I think my different leadership positions as well as my academic experience  umm would allow me to perform well on the job. I think  I’ve worked umm  both individually in a project as well as in a team-focused environment  which umm  I think is key for consulting and investment banking positions. I also feel that my MIT background  uh  the quantitative analysis that I’ve done in classes  as well as my internship experiences would help perform well on the job as well  so…|Interviewer: Great.,4.818498154755453,4.479785084791125
9,p20,Interviewer: How are you doing today?|Interviewee: Good. How are you?|Interviewer: Good. So  tell me about yourself.|Interviewee: Um  so I'm a junior at MIT. I'm majoring in environmental engineering.|Interviewer: Mmhmm|Interviewee: Um  and so I'm taking classes this semester in hydrology  environmental transport. Um  I've done internships previously with environmental restoration companies.|Interviewer: Okay.|Interviewee: And I also participated in research last summer.|Interviewer: Career goals?|Interviewee: Um  I'd like to go to Grad school after I graduate in Environmental Enginneering again.|Interviewer: Great. So  tell me about a time you demonstrated leadership.|Interviewee: Um  so this semester I became President of the Women's Independent Living Group.|Interviewer: Okay.|Interviewee: Um  after being House Manager last semester. So I've worked through a lot of problems within the house in trying to kind of get the right atmosphere in the house.|Interviewer: Can you be a little bit more specific?|Interviewee: Um  So as house manager  um  I organized work week at the beginning of this year. So it's a time when - there's about 30 members in the house and everybody gets together and  um  works on the house  paints rooms  like fixes it up before the school year starts. So I organized that  assigned jobs to people and facilitated that.|Interviewer: Okay  great. Tell me about a time you were working on a team and faced a challenge. How did you solve that problem?|Interviewee: Um  so I'm also on the rowing team.|Interviewer: Okay.|Interviewee: And I'm not sure if this is exactly what you're looking for  but I guess  I was in the second boat last year and we were having a lot of problems throughout the season kind of like we would go to a race and we would be okay  but we weren't performing up to our standards. And so it was a big struggle for me to try and figure out how to kind of help turn the attitude around in the boat. Um  and we were finally able to pull it off in our very last race and we won the semi-finals at Patriot League. So I think it's the right mix of like knowing when to speak up say something and knowing what to say.|Interviewer: So the way you change the attitude was by?|Interviewee: Um  kind of by speaking up and letting people know not like putting people down  but letting people know that there was way more potential to be had.|Interviewer: Okay. Great. And can you tell me one of your weaknesses and what you're doing to overcome it?|Interviewee: Um  one of my weaknesses  I tend to be  I guess  a little more withdrawn sometimes. Um  and that's something I've been working on like I've taken leadership in my house and as the rowing team  um  but I think something good about that is I tend to be a very good listener. |Interviewer: Mmhmm|And then I'm starting to learn when to speak up and become more of a like up-front role.|Interviewer: Great. And last question. Why do you think we should hire you?|Interviewee: Um  I think I'm like extremely responsible.|Interviewer: Mmhmm|Interviewee: Um  I have a lot of experience. And this is something that I think will help further my career goals and something I'm really excited about learning about. And so I'll put a lot of effort into this project.|Interviewer: Great.,4.883647533744052,4.526187361476851
24,p4,Interviewer: So  how are you doin'?|Interviewee: Pretty good.|Interviewer: Mmhmm. So  please tell me about yourself.|Interviewee: Uhh  so I'm a junior uhh studying aeronautics and astronautics at MIT. |Interviewer: Mmhmm.|Interviewee: Umm  so right now I'm currently in the middle of my junior year. I'm looking for a summer internship company and uhh-|Interviewer: Mmhmm. Tell me a time when you demonstrated leadership.|Interviewee: OK. Umm  so for example last year umm when we were working on a class project where we were uhh trying to design a G- uhh sorry a jet engine for GE. |Interviewer: Mmhmm.|Interviewee: Umm I had to work with a group of 4 people umm and to try to optimize certain uhh certain parameters for this engine. Uhh- that we would have to present at uhh something to present to GE engineers. Umm during that time one of my team members uhh actually got really sick and he actually had to uhh go medical for a couple days and he wasn't really able to do much. And uhh another person ended up uhh sh- wasn't showing up very much so during that time I sort of basically had to facilitate uhh the people who weren't sick uhh and basically help them communicate  talk to each other  and set up meetings. Uhh  I sort of took the helm on uhh towards uhh towards the end on a lot of that and basically got everybody together to to complete this project.|Interviewer: Mmhmm. Tell me about a time when you were working on a team and were faced with a different challenge. How did you solve that problem?|Interviewee: Umm uhh umm so over the summer I was working at at Auburn University.|Interviewer: Mmhmm.|Interviewee: Um I was doing uhh UAV collision avoidance algorithms.|Interviewer: Hmm.|Interviewee: So like uhh programming things to allow to allow a whole bunch of UAVs flying in the same airspace uhh to basically get to their directives without crashing into each other. Umm I was working with a partner  but in a larger context of umm a dozen students. Umm as it turns out umm the challenge in this case was that although it was sort of like a programming AI sort of aeronautics umm sort of project  uhh my partner came from a chemical engineering background and did not really have any programming experience nor she had she had experience with umm with sort of UAV design. Umm so that became a bit of an issue  umm but umm I think basically what ended up happening was I worked with umm a grad student there and like all the people to basically bring her up to speed. Basically sort of teach her programming from the ground up  up to a level where she might be able to help with programming like in a uhh a uhh for UAV. And umm in that case I drew upon a lot of resources that were available there. Umm you know there were grad students who were helping helping us  the professor who was in charge of the ex- uhh the project as well as with other students in the program.|Interviewer: Tell me about one of your weaknesses and how you plan to overcome it.|Interviewee: Ummm  so I think one of my weaknesses is that umm I have a tendency to to show up uhh to things kind to things kind of late. Umm this is actually probably after I'm used to after I'm used to going to a certain place umm because I have a tendency to think that  and especially in the mornings because I have a tendency to think oh I can get to a certain place uhh by biking uhh at a certain speed. So  I think uhh what I tend to do uhh what I'm trying to do nowadays to try to overcome that is basically get to somewhere before hand and then basically uhh do work there as opposed to try to do work umm away from a place where I need to be and like sort of try to make it there in the nick of time. It's something that I've tried to implement over the past couple weeks.|Interviewer: Now  why do you think we should hire you?|Interviewee: Umm I think you should hire me  because umm basically I've demonstrated over the past couple years umm a fair amount of research experience  a fair amount of experience in and out umm in and out of the classroom in both umm sort of an academic setting and in a research and development setting uhh such that I think I would be an asset to your company. Umm I think that my past experience with both uhh software and hardwares in aeronautics makes it so that uhh I have a good balance that would be useful to you.|Interviewer: Oh  thank-,4.098175077681842,3.5933178098163285
26,p43,Interviewer: So  can you tell me about yourself?|Interviewee: Sure  so I'm a senior at MIT in management and computer science. Uhm  I'm really interested in the intersection of the two. So  you know  not just  uhm  you know  how computers can  you know  you know  how  like the best algorithms to do about computers? like you know inventing the next algorithm  the next compression algorithm  not really something that I'm interested in doing. But uh really finding how computers can help apply to peoples lives and make new businesses or improve existing businesses. |Interviewer: Excellent. Let me open my questions up here. So  uhm  can you tell of a time where you demonstrate leadership?|Interviewee: Sure  so  uhm  I guess I'd say earlier this year. So I'm actually the president of Baker house and earlier in the beginning of the year in MIT we had this process called REX; Residence Exploration where all the dorms try and throw events and somehow  you know  recruit or retain the freshmen that they have. Uhm  and  the REX Event that we had uh  we threw a bunch of events  had about ten workers that we had  were able to give early arrival to. So free housing. Uh  so we ran about five or six events the largest of which was a party where we had over seven-hundred people attend. |Interviewer: Wow. So can you tell me about a time where you're working on a team and face a challenge? how did you go about resolving it?|Interviewee: Sure. So I think there's  you know  always been challenges. So last summer when I was at Disney  uhm  there were  there was some disagreement about uh  how we should  when we should schedule  the  uh  what week we should schedule the  uh  trial for. Uhm  and there was some disagreement about whether we should have it later because of uhm  uh  dates for when the program would be ready but if we had it passed a certain date then we'd have to have the app also consider time zone issues. So basically just discussed with all the stake holders and let them know that  you know  by changing this date  pushing it back  we're adding scope to the app and we're going to have to make additional development changes and see if they would be able to be flexible to change it back. |Interviewer: Ahh  that makes sense.|Interviewee: Yep.|Interviewer: Uhm  so  uh  tell me about your greatest weakness and what you've done to over come it. |Interviewee: Sure. So I think the  the problem  uhm  that I have the most is  uh  in delegating task to people. So  uhm  I want to make sure that things are done properly so I tend to overly control on things. So basically I've been thinking to myself alright is this something core that I really have to do? no. I think let's. you know  lets get someone else to do it  and that way also they also they learn it so  you know  when I graduate they're able to take on that role. |Interviewer: Mhmm. Uhm. Thanks. So I guess thinking  uhm  about a job that you like to apply for.|Interviewee: Sure.|Interviewer: Uh  Why should we hire you for this position?|Interviewee: Sure. I think uhm  I combine  you know  technical expertise with uh  business expertise and product expertise. So  hiring me as a product manager for your mobile app I think is  uh  would be optimal because I have expertise in all these areas and I've worked in all these areas in the past  uhm  and I'm able to bring that expertise to your organization in a way that I think few other candidates  uhm  have. |Interviewer: Ah  well thank you for coming.|Interviewee: Thank you for having me.,5.630818126591222,5.774952328956782
27,p44,Interviewer: Um  please tell me about yourself.|Interviewee: Okay  um  my name's Evan  Evan Muray  I'm a junior here at MIT in computer science. I'm originally from Louisville Kentucky. And  uh  yeah I currently live across the river. I heard about this study through e-mail. So  thought I'd check it out.|Interviewer: So  I lived in Louisville.|Interviewee: You did?|Interviewer: Yeah.|Interviewee: Nice.|Interviewer: Anyway. So can you tell me about a time when you served as a leader?|Interviewee: A leader? Uh sure. Um. A good example of that would be uh some of my extra curricular work  activities  so I'm involved in uh two activities in general that showcase my leadership skills. One is Camp Kesem MIT which is a student organization here on campus at MIT uh each summer the organization puts on a summer camp for children who's parents have or have had cancer. Um  and I serve on the coordinator board for this organization. Um  in the past I was in charge of handling applications and contacting families of campers who'd would come to our camp and being in contact with them throughout the year  send them newsletters  send them updates  plan reunions for them. Uh this year I am in charge of asking the students on campus and getting students to apply to become counselors for our camp and (inaudible) with students  so I work as a coordinator I actually have a co-coordinator  we usually work in tandem. The other activity is dance troop. It's another student organization here at MIT  where we put on a show each year and dance  have some fun  it's a dance show  and I'm a choreography for that organization as well. I lead a dance  teach people some dance moves for some fun.|Interviewer: Oh  that's all very excellent.|Interviewee: Thanks.|Interviewer: So  can you tell me a time when you were working on a team and you faced a challenge  how did you solve the problem?|Interviewee: Sure  uh  I think a great example of that would be this past January  I participated in a web design competition here on campus  6470  I was on a team with my girlfriend and a mutual friend of ours. It's always different working in a group with your friends as opposed to just hanging out with them. There was a bit of conflict about how we wanted the website to go. We had different visions for how we wanted it to look  and I think for me the best way that I handled that was to sort of be willing to compromise because I think it's a very important skill and also just listening  active listening. I was listening to why she wanted to make certain changes to the website. And by doing that  um  I was able to uh figure out uh sort of like a common ground that we could work towards  I think we eventually did hit um and were able to move forward with this one conflict that I definitely remember because it was pretty big at the time but  I mean  we needed to get through it.|Interviewer: So tell me one of your greatest weaknesses and what you're doing to overcome it.|Interviewee: My greatest weakness... Hm. Okay. Uh. I'd say my  one of my bigger weaknesses is  uh  I'd say  probably uh  self-starting  actually. It's something I've been working  it's like my goal for this year  to work on. In the past I would do my classes  take my classes  and really just kind of do my schoolwork significantly outside of classes. If there's one thing I learned from being around all these amazing people here at MIT  is if you have an idea just go for it. It's very easy  especially here  there's resources to do so  and  it's something that I want to work on  I have some ideas for projects I want to start on my own. It's always been an issue for me to actually start on things and come up with ideas and really get started on certain projects. But  this  I plan on starting my own website and doing some ideas with that  and hopefully I will gain some more experience in computer sciences.|Interviewer: Excellent. So uh think of a job you'd like to get hired for  why do you think we should hire you?|Interviewee: Uh  I think one of my best qualities is the ability to really quickly  coming to MIT for example  I came to MIT with very little experience in the field computer science. Many of my past internships  I've been going to  I don't have much experience  but I pride myself in the sort of grasp ideas quickly and uh build on top of those and use those to build solutions to problems. I find that  uh  after doing some examples of a certain problem  or just playing around with it for a little bit  I can get to work on using that sort of technology. In the past couple internships  I've had to deal with new languages  new framework  and I think that definitely more then compensates for any experience I'm lacking.|Interviewer: Excellent. Thanks again for coming again.|Interviewee: No problem  thank you for having me.|Interviewer: Of course!,5.317293459614781,4.599058371573568
30,p48,Interviewer:  How are you|Interviewee:  I'm doing well|Interviewer:  Excellent.  So  uh  please tell me about yourself.|Interviewee:  Uh  I'm a student  I study computer science.  Uh  I'm in my last year so when I graduate in May I'm going to be working on computer science stuff|Interviewer:  Mhm.  Now I'm going to ask you a series of questions  um  starting out with tell me a time where you demonstrate leadership|Interviewee:  I demonstrate leadership on the track team  I was senior pole vaulter on the team so uh right now were doing uh the conditioning and stuff like that and all through the preseason a lot freshmen come and its important to get them up to speed so the uh  seniors on the team myself included uh   lead them though the workouts and stuff like that and its important to be able to...to stand up and let them know how the tradition is and stuff like that.|Interviewer:  Tell me a time where you were working on a team and you were faced with a challenge.  How did you end up solving the problem|Interviewee:  Hm... in my living group we uh we had a problem that the rent was getting too expensive because we didn’t have quite enough people living there but we still had a set amount of rent we had to pay as a group.  So the prices were going up to the point that people had to get kicked out.  So that was pretty rough  but this happened like a year ago.  So like one of my close friends was like I cant afford these prices  like there's just no way. And like then it dominoes  which was a huge problem.  |Interviewer:  Hm|Interviewee:  And a lot of people suggested a lot of different...a lot of different solutions.  Most of them were like motivated from anger.|Interviewer:  Hm|Interviewee:  So uh  some people were like everybody who moves out should have to pay and other people were like oh no if I'm if not living there I shouldn’t have to do anything so  so it was like pretty contentious.|Interviewer:  mm|Interviewee:  But  but we worked it out to a... it was like a variation of a plan that I suggested which was that we would uh  we would change the rent based on room size and how many people were living in the room.  So we'd allow people to have more space themselves and pay more  but people who would have otherwise been forced out could uh  could have other people crammed into a room and saved a lot of money.  So  so we kept some of the people we kicked out.|Interviewer:  Oh good.|Interviewee:  Yeah but it was pretty rough to get that motion passed.|Interviewer:  Mhm  so uh  can you tell me one of your weaknesses and what you are doing to improve upon it.  |Interviewee:  Uh  I'm the opposite of type A so I can be pretty disorganized.  My lab notebooks like a lot of the time I make a lot of scribbles in at and when I write code the documentation like tends to be on the shaky side.  Um  so  so  it makes it kinda hard for other people to follow when doing ?  I never really thought it was a problem though until the most recent project that I've been on that I had to leave  uh  the project for a short amount of time and my partner like picked up where I left off and had no idea what was going on and I was like this is actually a problem the teachers like don't just tell you to document just to aggravate you.  So  I worked uh  so like since then like I've been working on like documenting what I do just like more diligently but also to check back up on it.  So that like there’s some kind of like review before like I show other people or before I let it out to a point that other people might rely on it.  So just to like read my documentation that and which I've never done before until this most recent project had that problem|Interviewer:  Well that's always a good practice.  |Interviewee:  Yeah|Interviewer:  So now  thinking about a job that you’d like to have  do you have one in mind?|Interviewee:  Sure  yeah|Interviewer:  So now  why should we hire you?|Interviewee:  Mostly because uh  results.  I'm  I just like get things done.  And there’s a like  there's a lot of things I know how to do  especially the job I'm thinking of is like a programming job like a startup.  My background  my degree is actually nuclear engineering.  SO  so like I don't have like the background the internships the stuff like that.  A lot of the coding interview questions they tend to ask I don't know  which is pretty rough  but uh I  I think that I would be  I should be hired because I would be resourceful and I'd do what it takes to get things done which is like working longer  being more resourceful  and stuff like that.  So like  I   I feel like I could get more results then somebody who has the same  or somebody who has a better background|Interviewer:  Ah  excellent.  Well thanks for coming today.,4.424642651201797,4.779917989142439
32,p5,Interviewer: So please tell me about yourself.|Interviewee: Myself  um  I'm a junior majoring in computer science at MIT I'm very interested in product design and not just how products are designed but how the business side of it how they affect the users and how he can use the technology to affect the masses.  I want to pursue (?) everyone.|Interviewer: Tell me about a time when you demonstrated leadership.|Interviewee: A time when I demonstrated leadership was  um  I was programs chair of the MIT Minority Business Association and it was my responsibility to plan our annual New York City Trip.  And  um  some of the challenges were bringing in sponsors and delegating tasks to all the members and managing people essentially.  And by  um  by delegating tasks according to interest and making sure that understanding people  what was going on in people's lives and helping them understand why we were able to complete a task on time  we were able to have a successful trip.|Interviewer: Tell me about a time you were working on a team and faced a challenge.  How did you solve the problem.|Interviewee: Um  a time when I was working on a team was in my Elemental Sulfur? Construction class and I faced not people problems but a technical problem.  And it was a project in which we were trying to implement and the way we solved it was just by brainstorming and making sure we didn't deny anyone's idea off the bat  we just tried to be as creative as we could be.  And then we presented some of our solutions to a TA and through that we were able to solve the technical problem.|Interviewer: Tell me about one of your weaknesses.  What do you plan to do to overcome it?|Interviewee:  One of my weaknesses is actually I learned from my internship last summer is that usually when I work on a project or have an idea I wait until the idea is fully fleshed out or partially implemented before I share with others and get their opinion.  But it's  I find it's a better and more agile approach to share ideas as soon as possible and to integrate as quickly as possible.  So fail fast  essentially.  That what I would do to accomplish this in the future to seek opinion early on when I have an idea working on a project. |Interviewer: Now  why do you think we should hire you?|Interviewee: Why I think you should hire me.  I think you should hire me because I'm very  I have a strong willingness to learn and I go beyond that and try to really get into why things are the way they are and why they work.  I break it down to small steps and try to build it back up to similar success.|Interviewer: Well  thank you.,5.367785494224581,5.133168375418295
34,p52,Interviewer: How are you?|Interviewee: Fine|Interviewer: So  please tell me about yourself.|Interviewee: Uh  I’m Daniel. I’m a Freshman.|Interviewer: Hm|Interviewee: I’m from  uh  Fort Lauderdale  Florida. Thinking about course AN61 here. I  uh  actually  uh  I was here for running  but I realized it wasn’t me  so  um  I decided to drop early and am pursuing travelon. So  um  yeah  classes I am doing fine. Looking for a job now. That’s about it.|Interviewer:  Excellent. So  uh  tell me about a time when you demonstrated leadership.|Interviewee: Uh  I’d say  probably  I’d say rowing in high school was probably my best demonstration. I was  um  senior in my  in the junior varsity boat after some little qualms with sea-re-sing? I’d really  like  thought it showed them that  like  even though I wasn’t put in the best situation  like  I performed indiscriminately. And  I think  in a way I showed them that we would still be able to compete against a varsity eight and there was times where like we were always even  like  half the season we were always like around the same time. And  we ended up  uh  medaling at states. And I’d say that  um  a good part of that is by leading by example by the older  um  upper classmen  so I feel like maybe that was the point where I was demonstrating leadership.|Interviewer: Excellent. So  it sounds like you have worked on a lot of teams. Tell me about a time when you were working on a team and you faced a challenge. How did you go about solving it?|Interviewee: Well  there was a lot of issues with my coach in in rowing. So um  if it wasn’t  I think  um I went through a lot of issues like that with my assistant coach at came for a year  and she helped me sort things a lot. She showed that I did have  um  proper technique. It was more of like  like a discriminating issue of my coach wanting certain people on the boat just because he thought it would move better. I realized that  um  as long as I kept on pursuing the sport  like  that’s all that really mattered. That’s all  like  my own efforts will fruit in something that will take me somewhere  that will help me get into MIT. So  I feel like  um  this  this like seeing things in my own way  right  and being distraught by other people effecting me helped. |Interviewer: Ah  that’s  uh  very good. So  uh  tell me about one of your weaknesses  and what you’ve done to overcome it.|Interviewee: I think one of my weaknesses has to be  um  the fact that  I’m a little  um  delinquent with my work. And  uh  um  I’m lazy at times. I definitely procrastinate. It was a pursuing thing through high school. And  uh  it’s still a little now because of a passing record. One of my combating is goal setting. I learned it from one of my  uh  from one of these  one of an upperclassmen that I know in  uh  at MIT. He  uh  told me  like  to write out  like  weekly goals and write out long term goals. Like  long terms goals meaning  like  the end of MIT  after MIT  what you want to do after the MIT experience  and short term goals  which is  like  get stuff done now. So  in a way that kind of put me things  put things in perspective for me. Realize that I shouldn’t be burning too much time messing around. By  I mean  certainly I should be messing around a little bit just because it’s  it’s a good time to have fun and relax. But  at the same time  I shouldn’t do it in excess. So  I guess that’s helped me a little bit. |Interviewer: That makes since. So  uh  uh  think about the job you’d like to have. Might be a rep or something else. Do you have something in mind? |Interviewee: Um  actually  yeah  um. I’ve never had lab experience before  so I really want a role  which is why-|Interviewer: O good  yeah  OK.. So now  why do you think we should give you this job?|Interviewee: Uh  well  for starters  um  I don’t have any experience  so I feel like  um  it’s a good place for me to start. And I’m really willing to do whatever it takes to make time for it. Um  I see how  um  I’m not taking too many classes this semester cuz I’m a course advantage. I’ll be making sure I’ll have enough time to make classes  uh  more manageable. I should be able to commit hours on it. I’m really interested in the job I’m doing  so  hopefully that interest will inspire me  uh  inspire me to work hard.|Interviewer: Ah  well  thank you for your time. I appreciate you coming in and interviewing today.,4.955792860625837,4.635006612255369
43,p61,Interviewer:  Tell me about yourself|Interviewee:  I am in aerospace and engineering  and a  |Junior  uhm I’m in naval ROTC  and I’m trying to be a naval  |Aviator.  |Interviewer:  Ready?  Tell me about a time you demonstrated leadership.|Interviewee:  well with ROTC you get a lot of  |different opportunities each semester  uhm  depending  |On hold old you are  ah  you will be a squad leader  |Which is where you lead about 6 different people  ah  |now that I’m a jra I’m ah admino  which is basically  |where i do a lot of paper work and i help shape the  |background planning for the entire battalion.|Interviewer: mm wow ok tell me about a time when working on a team and facing a challenge  how did you solve that problem?||Interviewee: ah in unified last year  uhm we had the  |airplane challenge uhm and different people had  |different personalities some wanting and more  |controlling than others  ultimately we ended up ah  |dividing it for who had the better strengths ah and  |ultimately  we do really hope that the project was good |Interviewer: ok and can you tell me one of your weaknesses that hopefully will never come in?||Interviewee: One of my big weaknesses would be ah  |speeches in front of a lot of people||Interviewer: and what are you doing to overcome it?||Interviewee: well ROTC is kinda forcing me into  |positions to just practice all the time i feel that  |ultimately that will help||Interviewer: and why do you think we should hire you|Interviewee: (slight laugh)|Interviewer: (finishes sentence) in the meaning|Interviewee: ah because I'm physically qualified and  |trained very well and i feel my battalion has set me  |up to do well in the future||Interviewer: great,5.203658493617162,4.8958812751664675
44,p62,Interviewer: Ok. Alright  Ready to go?|Interviewee: Mmm  hmmm|Interviewer: How are you doing today?|Interviewee: I’m good  |Interviewer: Good|Interviewee: How are you?|Interviewer: Good. Tell me about yourself|Interviewee: Umm  So my name is Juliann  ok  uhh  just hold up  so what  what exactly would this interview?|Interviewer: You can say background|Interviewee: Ok|Interviewer: It’s a behavioral  short behavioral interview for I guess for Med School|Interviewee: Ok  |Interviewer: Ok?|Interviewee: So I’m Juliann  I go to MIT  I’m currently a junior  I’m hoping to attend your  the medical school that I’m applying to  |Interviewer: Mmm  hmmm|Interviewee: Umm yeah I’m studying computer science and biology  which is a pretty new umm course here at MIT  and currently I’m taking mostly biology classes  I’m also doing research in the hematology lab  and umm  yeah so a little bit about myself umm I guess if you want to know a little bit about my background before college  I was born in Tai… I was born in California… in Irvine  umm and my parents and I moved back to Taiwan when I was about 10  so I went to International school there  umm but yeah  most of my friends were pretty bilingual. They spoke both English and Chinese so I would say that I’m pretty you know fluent at both languages. And yeah really look to both California and Taiwan as my homes.|Interviewer: Great  Tell me about a time you demonstrated leadership?|Interviewee: Ok  umm let’s see… So I as I said I’m from Taiwan and I’m  I’m part of a student group here at MIT  called the association of Taiwanese students  and what I actually was  was a cultural chair uh  for a year  and one of our main events is to create a night market  so umm  yeah  so instead of you know the outdoors night markets that you see in cities in Asia  uhh we actually took it inside into our student center  so we had to work with umm the leadership from a bunch of different other clubs  so this included like the Chinese students club  umm  the association of  sorry the Asian American Association  as well some other umm cultural clubs in order to create this event  and so what my partner and I were in charge of was the food  and what we thought  we thought that this was you know  one of the umm biggest points of the event in the first place  so umm  yeah I think that you know ha… getting everyone umm as a group to really sit down and look at you know how much money we had to allocate here and how much umm  you know time everybody needed to set up  umm and we  yeah so my partner and I were in charge of that  and I thought that that was one time where we really showed our leadership and made something  umm  you know  arise out of that.|Interviewer: Great  and tell me about a time you were working on a team and faced a challenge  how did you solve that problem?|Interviewee: A team  umm  lets see  ok so over the summer umm  I actually  this last summer before my junior year  umm  I went to Taiwan and China. Taiwan and Hong Kong specifically to teach…|Interviewer: Mmm hmmm|Interviewee: And this was in groups of three  so there were two other MIT students and I umm teaching in a group…|Interviewer: Mmm hmmm|Interviewee: And so what this conflict arose  umm where we had two weeks of umm teaching and we weren’t sure because there were  there was also another group  another group of three teaching at the same time and we weren’t sure if the students really wanted us to like switch classes so that they could get umm more  more time with all of the six instructors  umm or if we just wanted to stick with the same grup of students for a complete two weeks…|Interviewer: Mmmm|Interviewee: And so you know kind of a conflict arose out of that umm it was pretty much you know  three versus three  like three of us wanted  we thought that it would be a good idea to switch and umm the other three thought that you know they wanted to have a more personal relationship with their students. And umm  yeah eventually what you know we we sat down at first it was pretty heated  umm  like so two of uhh  my colleagues  like one person from my team  and someone from the other  umm had you know really strong  strong ideas about umm what they wanted to do. So  you know what I said was  hey  everybody like let’s sit down and calm down  and you know think this through and talk it through  and you know I  I felt like I was one of the mediators in that  you know I didn’t let myself get you know too involved at first  and I didn’t let you know start screaming or anything like that  and I was really the one that said hey everybody sit down  umm  let’s talk this through  and so we really just you know calmly and logically thought it through  talked it through  and you know we were like oh what would be the advantages of of switching and what would be the disadvantages? And in the end we felt like umm the students were there to get breath and not necessarily depth  Since it was only two weeks anyway  and so we felt like it would be a lot better for them to umm have more exposure to all of the MIT instructors from all different backgrounds.|Interviewer: Ok. Ok  tell me one of your weaknesses and what you’re doing to overcome it?|Interviewee: Ok. I feel like one of my greatest weaknesses is uhh  self confidence. I  you know  I’m not naturally somebody who really wants to take a center stage to everything|Interviewer: Mmm hmm|Interviewee: Umm  and you know there are people  like some of my friends are very much so people who are in the center of attention a lot. And I think that that’s something that I have been working on and will strive to work on umm in the future as well.|Interviewer: Great. And why do you think you should get into this medical school?|Interviewee: Well I think that  you know  I (laughs) I I’ve demonstrated a lot of umm I have a lot of experience in the medical field  umm as a college student umm I do research in as I said in the hematology lab and I actually also work as an EMT. |Interviewer: Mmmmm|Interviewee: So that’s been a very  very large  big part of my life since umm last January. Umm  when I got my EMT  EMS umm license  and yeah so I actually work here at MIT umm as a Emergency Medical Technician  Uhh  I work probably 15 hours a week on that. Umm  but moreso beyond my experience I really have a passion for the medical field. Umm  and I you know want to see help both the research that I do that you know  hopefully  in the future uhh  some clinical  the clinical work that I do will effect medical field.,5.07918394889179,5.318850358975849
